,PetID,pic_no,img_bound_polygon_x,img_bound_polygon_y,img_confidence,img_imp_fract,domcol_r,domcol_g,domcol_b,AdoptionSpeed
43,671ffc570,4,311.0,399.0,0.79999995,1.0,195.0,191.0,196.0,3
43,671ffc570,5,299.0,399.0,0.79999995,1.0,198.0,196.0,197.0,3
43,671ffc570,6,399.0,299.0,0.79999995,1.0,196.0,197.0,201.0,3
44,aece6e7bf,1,202.0,359.0,0.79999995,1.0,117.0,117.0,111.0,4
44,aece6e7bf,2,202.0,359.0,0.79999995,1.0,48.0,49.0,56.0,4
45,c1e816568,1,470.0,479.0,0.79999995,1.0,89.0,83.0,77.0,4
45,c1e816568,2,639.0,479.0,0.79999995,1.0,141.0,58.0,68.0,4
45,c1e816568,3,359.0,474.0,0.79999995,0.98999995,200.0,81.0,100.0,4
45,c1e816568,4,359.0,479.0,0.79999995,1.0,55.0,47.0,46.0,4
45,c1e816568,5,359.0,479.0,0.79999995,1.0,24.0,22.0,22.0,4
45,c1e816568,6,359.0,479.0,0.79999995,1.0,121.0,120.0,112.0,4
45,c1e816568,7,639.0,479.0,0.79999995,1.0,53.0,45.0,45.0,4
45,c1e816568,8,359.0,479.0,0.79999995,1.0,151.0,23.0,33.0,4
45,c1e816568,9,639.0,479.0,0.79999995,1.0,204.0,198.0,193.0,4
46,22f6c0ac6,1,149.0,112.0,0.79999995,1.0,129.0,122.0,116.0,3
46,22f6c0ac6,2,149.0,112.0,0.79999995,1.0,45.0,44.0,40.0,3
46,22f6c0ac6,3,112.0,149.0,0.79999995,1.0,123.0,115.0,97.0,3
46,22f6c0ac6,4,399.0,299.0,0.79999995,1.0,190.0,201.0,194.0,3
46,22f6c0ac6,5,399.0,299.0,0.79999995,1.0,182.0,199.0,203.0,3
46,22f6c0ac6,6,399.0,299.0,0.79999995,1.0,182.0,199.0,199.0,3
46,22f6c0ac6,7,399.0,299.0,0.79999995,1.0,147.0,152.0,146.0,3
46,22f6c0ac6,8,399.0,299.0,0.79999995,1.0,146.0,154.0,143.0,3
46,22f6c0ac6,9,399.0,299.0,0.79999995,1.0,246.0,245.0,243.0,3
47,ea159d8da,1,639.0,479.0,0.79999995,1.0,72.0,46.0,43.0,4
47,ea159d8da,2,639.0,480.0,0.79999995,1.0,74.0,44.0,35.0,4
47,ea159d8da,3,269.0,479.0,0.79999995,1.0,138.0,116.0,87.0,4
48,af1035c81,1,345.0,479.0,0.79999995,1.0,63.0,46.0,30.0,3
48,af1035c81,2,269.0,479.0,0.79999995,1.0,98.0,81.0,60.0,3
48,af1035c81,3,269.0,479.0,0.79999995,1.0,228.0,240.0,242.0,3
49,0d25f084f,1,332.0,332.0,0.79999995,1.0,229.0,221.0,214.0,2
49,0d25f084f,2,299.0,399.0,0.79999995,1.0,89.0,80.0,75.0,2
49,0d25f084f,3,399.0,299.0,0.79999995,1.0,149.0,150.0,158.0,2
50,6fecc5cf7,1,359.0,479.0,0.79999995,1.0,15.0,16.0,18.0,3
50,6fecc5cf7,2,639.0,479.0,0.79999995,1.0,16.0,17.0,17.0,3
50,6fecc5cf7,3,639.0,479.0,0.79999995,1.0,18.0,18.0,19.0,3
50,6fecc5cf7,4,359.0,479.0,0.79999995,1.0,11.0,10.0,9.0,3
50,6fecc5cf7,5,359.0,479.0,0.79999995,1.0,17.0,18.0,20.0,3
50,6fecc5cf7,6,639.0,479.0,0.79999995,1.0,13.0,175.0,163.0,3
50,6fecc5cf7,7,359.0,479.0,0.79999995,1.0,21.0,21.0,27.0,3
50,6fecc5cf7,8,359.0,479.0,0.79999995,1.0,51.0,50.0,60.0,3
50,6fecc5cf7,9,359.0,479.0,0.79999995,1.0,21.0,22.0,24.0,3
51,7fe8ef73d,1,265.0,399.0,0.79999995,1.0,244.0,241.0,237.0,4
52,015c75c9e,1,269.0,479.0,0.79999995,1.0,53.0,52.0,49.0,3
52,015c75c9e,2,269.0,479.0,0.79999995,1.0,163.0,25.0,36.0,3
52,015c75c9e,3,269.0,479.0,0.79999995,1.0,203.0,73.0,69.0,3
53,9609a0b86,1,399.0,299.0,0.79999995,1.0,209.0,187.0,163.0,4
53,9609a0b86,2,399.0,299.0,0.79999995,1.0,137.0,117.0,90.0,4
53,9609a0b86,3,399.0,299.0,0.79999995,1.0,167.0,148.0,119.0,4
53,9609a0b86,4,399.0,299.0,0.79999995,1.0,110.0,71.0,54.0,4
53,9609a0b86,5,399.0,299.0,0.79999995,1.0,118.0,69.0,53.0,4
54,c740abfe1,,,,,,,,,3
55,f6551137d,1,359.0,479.0,0.79999995,1.0,217.0,197.0,179.0,2
55,f6551137d,2,359.0,479.0,0.79999995,1.0,216.0,193.0,166.0,2
55,f6551137d,3,359.0,479.0,0.79999995,1.0,206.0,190.0,163.0,2
55,f6551137d,4,359.0,479.0,0.79999995,1.0,137.0,117.0,84.0,2
55,f6551137d,5,359.0,479.0,0.29999998,1.0,175.0,155.0,122.0,2
55,f6551137d,6,359.0,479.0,0.79999995,1.0,213.0,191.0,169.0,2
55,f6551137d,7,359.0,479.0,0.79999995,1.0,75.0,83.0,27.0,2
55,f6551137d,8,359.0,479.0,0.79999995,1.0,129.0,119.0,97.0,2
55,f6551137d,9,359.0,479.0,0.79999995,1.0,52.0,99.0,115.0,2
56,8c131db77,1,639.0,639.0,0.79999995,1.0,80.0,115.0,147.0,4
56,8c131db77,2,639.0,639.0,0.79999995,1.0,220.0,81.0,83.0,4
56,8c131db77,3,639.0,639.0,0.79999995,1.0,42.0,13.0,13.0,4
56,8c131db77,4,626.0,479.0,0.79999995,0.98999995,29.0,45.0,73.0,4
57,d765ae877,1,399.0,239.0,0.79999995,1.0,117.0,115.0,116.0,2
57,d765ae877,2,399.0,299.0,0.79999995,1.0,112.0,111.0,104.0,2
58,8ce183889,1,126.0,224.0,0.79999995,1.0,199.0,201.0,207.0,1
58,8ce183889,2,126.0,224.0,0.79999995,1.0,195.0,194.0,201.0,1
58,8ce183889,3,126.0,224.0,0.79999995,1.0,190.0,192.0,199.0,1
59,9c0ddccc8,1,639.0,639.0,0.79999995,1.0,157.0,154.0,149.0,4
60,f9df8656a,1,399.0,299.0,0.79999995,1.0,135.0,113.0,96.0,1
60,f9df8656a,2,371.0,299.0,0.79999995,0.96,161.0,148.0,125.0,1
60,f9df8656a,3,399.0,299.0,0.79999995,1.0,166.0,148.0,119.0,1
60,f9df8656a,4,399.0,299.0,0.79999995,1.0,180.0,186.0,189.0,1
60,f9df8656a,5,399.0,299.0,0.79999995,1.0,111.0,89.0,74.0,1
61,f0ef9c777,1,359.0,479.0,0.79999995,1.0,152.0,111.0,90.0,4
61,f0ef9c777,2,639.0,639.0,0.79999995,1.0,115.0,73.0,56.0,4
62,3181e5424,1,398.0,479.0,0.79999995,1.0,213.0,188.0,155.0,4
62,3181e5424,2,359.0,479.0,0.79999995,1.0,196.0,145.0,102.0,4
63,9883a048e,1,399.0,266.0,0.79999995,1.0,72.0,94.0,23.0,2
63,9883a048e,2,298.0,399.0,0.79999995,1.0,41.0,46.0,70.0,2
63,9883a048e,3,298.0,399.0,0.79999995,1.0,44.0,51.0,77.0,2
63,9883a048e,4,399.0,266.0,0.79999995,1.0,56.0,51.0,45.0,2
63,9883a048e,5,399.0,266.0,0.79999995,1.0,161.0,152.0,124.0,2
64,b0dec8779,1,312.0,399.0,0.79999995,1.0,50.0,50.0,61.0,3
64,b0dec8779,2,327.0,398.0,0.79999995,1.0,87.0,85.0,95.0,3
64,b0dec8779,3,399.0,304.0,0.79999995,1.0,52.0,51.0,63.0,3
64,b0dec8779,4,385.0,399.0,0.79999995,1.0,51.0,50.0,61.0,3
64,b0dec8779,5,312.0,399.0,0.79999995,1.0,51.0,48.0,68.0,3
64,b0dec8779,6,398.0,299.0,0.79999995,1.0,158.0,154.0,152.0,3
64,b0dec8779,7,399.0,306.0,0.79999995,1.0,210.0,190.0,184.0,3
64,b0dec8779,8,297.0,399.0,0.79999995,1.0,50.0,48.0,69.0,3
64,b0dec8779,9,399.0,265.0,0.79999995,1.0,52.0,51.0,55.0,3
65,e8d0907ae,1,298.0,399.0,0.79999995,1.0,128.0,114.0,88.0,1
65,e8d0907ae,2,299.0,399.0,1.0,1.0,163.0,157.0,151.0,1
65,e8d0907ae,3,399.0,299.0,0.79999995,1.0,171.0,156.0,137.0,1
65,e8d0907ae,4,399.0,299.0,0.79999995,1.0,240.0,231.0,210.0,1
65,e8d0907ae,5,299.0,399.0,0.79999995,1.0,203.0,197.0,164.0,1
66,e540c1ba5,1,399.0,299.0,0.79999995,1.0,178.0,197.0,221.0,4
67,4a4db4d32,1,399.0,267.0,0.79999995,1.0,164.0,156.0,126.0,2
68,98a98311c,1,399.0,299.0,0.79999995,1.0,131.0,120.0,113.0,2
69,ef14861df,1,568.0,632.0,0.79999995,0.95,54.0,48.0,40.0,4
69,ef14861df,2,201.0,359.0,0.79999995,1.0,222.0,131.0,149.0,4
69,ef14861df,3,359.0,479.0,0.79999995,1.0,133.0,114.0,90.0,4
70,a9bc357f0,1,479.0,479.0,0.79999995,1.0,247.0,176.0,99.0,4
71,aaf4a1439,1,269.0,479.0,0.79999995,1.0,137.0,116.0,88.0,3
72,1e62e6022,1,299.0,399.0,0.79999995,1.0,130.0,119.0,91.0,1
72,1e62e6022,2,399.0,299.0,0.79999995,1.0,78.0,74.0,68.0,1
72,1e62e6022,3,399.0,299.0,0.79999995,1.0,152.0,152.0,155.0,1
72,1e62e6022,4,399.0,299.0,0.79999995,1.0,166.0,155.0,120.0,1
72,1e62e6022,5,399.0,299.0,0.79999995,1.0,64.0,53.0,60.0,1
73,4e797dcdd,1,639.0,639.0,0.79999995,1.0,97.0,81.0,81.0,4
73,4e797dcdd,2,639.0,639.0,0.79999995,1.0,101.0,82.0,67.0,4
73,4e797dcdd,3,639.0,639.0,0.79999995,1.0,182.0,192.0,130.0,4
74,45d2ddcb8,1,299.0,399.0,0.79999995,1.0,118.0,70.0,64.0,2
74,45d2ddcb8,2,299.0,399.0,0.79999995,1.0,106.0,76.0,84.0,2
74,45d2ddcb8,3,299.0,399.0,0.79999995,1.0,62.0,52.0,54.0,2
74,45d2ddcb8,4,299.0,399.0,0.79999995,1.0,215.0,181.0,177.0,2
74,45d2ddcb8,5,299.0,399.0,0.79999995,1.0,238.0,236.0,239.0,2
75,259b10a3e,1,224.0,398.0,0.79999995,1.0,30.0,23.0,21.0,0
76,d2490c888,1,224.0,299.0,0.79999995,1.0,27.0,22.0,22.0,4
76,d2490c888,2,224.0,299.0,0.79999995,1.0,177.0,150.0,124.0,4
76,d2490c888,3,399.0,299.0,0.79999995,1.0,30.0,23.0,24.0,4
77,2c93c0c11,1,359.0,479.0,0.79999995,1.0,148.0,155.0,154.0,3
77,2c93c0c11,2,359.0,479.0,0.79999995,1.0,187.0,189.0,184.0,3
77,2c93c0c11,3,639.0,479.0,0.79999995,1.0,153.0,107.0,66.0,3
78,35593da00,1,269.0,479.0,0.79999995,1.0,113.0,78.0,54.0,1
78,35593da00,2,639.0,359.0,0.79999995,1.0,112.0,72.0,47.0,1
78,35593da00,3,639.0,359.0,0.79999995,1.0,88.0,49.0,27.0,1
78,35593da00,4,639.0,359.0,0.79999995,1.0,143.0,107.0,81.0,1
78,35593da00,5,639.0,359.0,0.79999995,1.0,145.0,108.0,86.0,1
79,4cc70e613,1,639.0,359.0,0.79999995,1.0,28.0,21.0,14.0,3
80,ff125cf8d,1,399.0,260.0,0.79999995,1.0,21.0,23.0,28.0,4
81,c30dd6e9a,1,225.0,399.0,0.79999995,1.0,126.0,73.0,35.0,1
81,c30dd6e9a,2,225.0,399.0,0.79999995,1.0,96.0,79.0,57.0,1
82,be9474b85,1,359.0,479.0,0.79999995,1.0,24.0,21.0,21.0,2
83,815f4cc08,1,269.0,479.0,0.79999995,1.0,40.0,91.0,75.0,3
83,815f4cc08,2,639.0,359.0,0.79999995,1.0,44.0,91.0,80.0,3
83,815f4cc08,3,639.0,359.0,0.79999995,1.0,214.0,191.0,168.0,3
84,ec5069cf6,1,299.0,399.0,0.79999995,1.0,125.0,113.0,93.0,3
84,ec5069cf6,2,363.0,299.0,0.79999995,0.97999996,96.0,91.0,66.0,3
84,ec5069cf6,3,299.0,399.0,0.79999995,1.0,93.0,80.0,72.0,3
84,ec5069cf6,4,265.0,399.0,0.79999995,1.0,93.0,77.0,54.0,3
85,867308404,1,299.0,399.0,0.79999995,1.0,133.0,120.0,96.0,2
85,867308404,2,299.0,399.0,0.79999995,1.0,156.0,157.0,149.0,2
85,867308404,3,299.0,399.0,0.79999995,1.0,167.0,156.0,126.0,2
86,e9df3ead7,1,359.0,479.0,0.79999995,1.0,24.0,23.0,40.0,4
86,e9df3ead7,2,359.0,479.0,0.79999995,1.0,17.0,13.0,10.0,4
87,258667857,1,359.0,479.0,0.79999995,1.0,191.0,140.0,113.0,2
87,258667857,2,359.0,479.0,0.79999995,1.0,31.0,32.0,25.0,2
87,258667857,3,359.0,479.0,0.79999995,1.0,26.0,25.0,20.0,2
87,258667857,4,359.0,479.0,0.79999995,1.0,195.0,150.0,126.0,2
88,fd3172797,1,399.0,299.0,0.79999995,1.0,192.0,155.0,16.0,3
88,fd3172797,2,399.0,299.0,0.79999995,1.0,198.0,194.0,160.0,3
88,fd3172797,3,399.0,299.0,0.79999995,1.0,155.0,156.0,156.0,3
88,fd3172797,4,399.0,299.0,0.79999995,1.0,202.0,197.0,161.0,3
88,fd3172797,5,299.0,399.0,0.79999995,1.0,101.0,83.0,54.0,3
88,fd3172797,6,224.0,299.0,0.79999995,1.0,95.0,77.0,45.0,3
88,fd3172797,7,399.0,299.0,0.79999995,1.0,229.0,230.0,238.0,3
88,fd3172797,8,399.0,299.0,0.79999995,1.0,218.0,42.0,120.0,3
88,fd3172797,9,399.0,299.0,0.79999995,1.0,57.0,144.0,37.0,3
89,8df0bb3b3,1,224.0,299.0,0.79999995,1.0,114.0,79.0,54.0,3
89,8df0bb3b3,2,224.0,299.0,0.79999995,1.0,160.0,104.0,64.0,3
89,8df0bb3b3,3,224.0,299.0,0.79999995,1.0,107.0,73.0,56.0,3
89,8df0bb3b3,4,224.0,299.0,0.79999995,1.0,78.0,46.0,33.0,3
89,8df0bb3b3,5,224.0,299.0,0.79999995,1.0,196.0,194.0,189.0,3
